iter	Logloss
0	0.6321443635
1	0.5952070565
2	0.5589954862
3	0.5267292564
4	0.4875239201
5	0.4541996565
6	0.4297771188
7	0.4007976913
8	0.383437784
9	0.3671640841
10	0.3520476745
11	0.3319120569
12	0.3120627411
13	0.2963372151
14	0.2813033165
15	0.2715479267
16	0.2610945876
17	0.2488193382
18	0.2435490121
19	0.234718541
20	0.2283721414
21	0.2152078794
22	0.2094842708
23	0.2020690735
24	0.1913949411
25	0.1878571504
26	0.1813194341
27	0.1785116204
28	0.1675625066
29	0.1635983062
30	0.1566643215
31	0.1521130828
32	0.1500660962
33	0.141739898
34	0.1364843145
35	0.1315240921
36	0.1278373155
37	0.1233273006
38	0.1199284223
39	0.116603251
40	0.1128627139
41	0.1107723234
42	0.1045455957
43	0.1001441493
44	0.09631849691
45	0.09423191098
46	0.0919981155
47	0.08930203642
48	0.08532442546
49	0.08357648738
50	0.08133798816
51	0.07906249485
52	0.07677110763
53	0.07569923422
54	0.07474506793
55	0.07264604017
56	0.06763787433
57	0.06486938269
58	0.06275304482
59	0.06127769082
60	0.05899758707
61	0.05786912362
62	0.05668609126
63	0.05541336735
64	0.05375356211
65	0.05129486703
66	0.0501911642
67	0.04875091356
68	0.04797138584
69	0.04733435425
70	0.04556220687
71	0.04447569772
72	0.04349650969
73	0.04222745887
74	0.04145768666
75	0.04046796338
76	0.03944435191
77	0.03822703578
78	0.03662231548
79	0.0359277605
80	0.03472062898
81	0.03413439467
82	0.03370789425
83	0.03278878889
84	0.03198390418
85	0.03099552192
86	0.02972060361
87	0.02922440198
88	0.02864205419
89	0.02790330767
90	0.02703071266
91	0.02652805097
92	0.02556660956
93	0.02498351682
94	0.02430746913
95	0.02337927232
96	0.02250212159
97	0.02207016304
98	0.02179625709
99	0.02127618407
100	0.02071987266
101	0.02007817509
102	0.019446821
103	0.01920868115
104	0.01843815005
105	0.01782225601
106	0.0173453071
107	0.01681354001
108	0.01643087992
109	0.01585586274
110	0.01562442152
111	0.01516284769
112	0.01472734994
113	0.01419679299
114	0.01389907073
115	0.01346562096
116	0.01319701167
117	0.01294969335
118	0.01274073622
119	0.01254838022
120	0.0122291213
121	0.01197942466
122	0.01185126062
123	0.01164128676
124	0.01137920693
125	0.0109988957
126	0.01062463371
127	0.01016514379
128	0.009920556952
129	0.009705936983
130	0.009394187759
131	0.009154710944
132	0.00888640935
133	0.008601438161
134	0.008315715628
135	0.008235606263
136	0.008121689959
137	0.007872992955
138	0.007628995454
139	0.007413729571
140	0.00723763252
141	0.007084836248
142	0.006892105365
143	0.006692673901
144	0.0065741718
145	0.006509976216
146	0.006430769167
147	0.006283343591
148	0.006172696435
149	0.00602412725
150	0.005840744044
151	0.005738748619
152	0.005574383402
153	0.005476531245
154	0.005360627831
155	0.005261147643
156	0.005135761792
157	0.00505412118
158	0.004937708594
159	0.004863146059
160	0.004796670577
161	0.004728759605
162	0.004645297164
163	0.00457799086
164	0.004473501554
165	0.004419393679
166	0.004345333514
167	0.004250279035
168	0.004147205952
169	0.004045525481
170	0.003981081127
171	0.003862647768
172	0.003815079409
173	0.003747183624
174	0.003647603804
175	0.003571527444
176	0.003510721722
177	0.003461734944
178	0.003420223115
179	0.003354593378
180	0.003312259091
181	0.003249100738
182	0.003215988153
183	0.003095504213
184	0.003050645417
185	0.003002295505
186	0.002942030765
187	0.002889897291
188	0.002804786363
189	0.002753351811
190	0.002680239601
191	0.002653879432
192	0.002615159122
193	0.002557232724
194	0.002502287409
195	0.00244209711
196	0.002397190908
197	0.002356611993
198	0.002332270537
199	0.002273422858
